hidden_layer_sizes,lambda_reg,activation,initialization_mode,avg_val_mape,avg_val_reg_error,avg_initial_loss,avg_final_loss,avg_initial_train_mape,avg_final_train_mape,avg_iterations,avg_optimization_time_seconds,success_rate,unique_messages
"[64, 32, 32]",0.01,relu,xavier,23.39419813562834,99.07842725423818,1676.0940779327298,98.78956942869799,99.87296152313952,23.366659278131625,39.4,5.489317560195923,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[64, 32, 32]",0.01,tanh,he,23.359844087999118,103.66381271430532,1687.1963605557453,102.72787905378443,100.51385394209561,23.260835030071654,72.0,7.067747402191162,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[64, 32, 32]",0.01,tanh,xavier,23.530470497696694,104.36894272376082,1674.2025108083922,103.61235405687735,99.98346939500217,23.473624741333527,70.6,8.0014178276062,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[64, 32, 32]",0.01,swish,he,23.429757382617836,100.57292800178234,1654.2412580912471,100.45770326468644,99.34024508276619,23.419229497047212,42.8,9.529755926132202,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[64, 32, 32]",0.01,swish,xavier,23.4981463261188,100.24859929682168,1681.6199231664912,100.08274511479871,100.02409418924023,23.467484333813363,34.2,8.889710330963135,80.0,"['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH', 'ABNORMAL_TERMINATION_IN_LNSRCH']"
"[64, 32, 32]",0.1,relu,he,23.683966658437175,118.72967041259058,1734.328132683769,118.59518016626377,100.0980124261782,23.635801151931,54.2,8.623401260375976,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[64, 32, 32]",0.1,relu,xavier,23.405393223178585,110.1750974560412,1679.4598636122323,109.96359873388758,99.45328072142836,23.37895219250959,39.8,7.093159914016724,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[64, 32, 32]",0.1,tanh,he,23.510897048319745,113.97845626805751,1697.7554059325357,113.54691801463994,99.56616866489469,23.463047371304196,116.6,13.670874977111817,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[64, 32, 32]",0.1,tanh,xavier,23.560073323730585,112.72134023476943,1688.4031971791505,112.22304337924122,100.01897314898531,23.495120757106545,108.4,13.903684329986572,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[64, 32, 32]",0.1,swish,he,23.448372820513885,120.19703429237889,1714.684171353079,119.77991592902929,100.05038531271455,23.399307818994053,43.6,11.29757661819458,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[64, 32, 32]",0.1,swish,xavier,23.461782312374677,110.61880010298754,1687.1564787380091,110.1728342296589,99.96785275115744,23.455675695051767,43.6,12.191401481628418,80.0,"['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH', 'ABNORMAL_TERMINATION_IN_LNSRCH']"
"[128, 64, 32]",0.001,relu,he,23.308590772234606,97.6216868826358,1684.612126174424,97.49304996105268,100.8232729613917,23.291430737116265,48.6,22.602844333648683,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[128, 64, 32]",0.001,relu,xavier,23.311020051619927,97.35293408958512,1680.3041667645825,97.27436053949842,100.03686197911613,23.30100618587193,42.6,18.297037744522093,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[128, 64, 32]",0.001,tanh,he,23.208925529162087,98.25582458380497,1689.3069868420403,96.97056217825302,99.85721700614349,23.087859514148146,81.2,24.95558633804321,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[128, 64, 32]",0.001,tanh,xavier,23.364974655256276,98.21294749812749,1677.882096364415,97.62863787558236,100.18506396041435,23.26315097185209,61.4,20.363081789016725,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[128, 64, 32]",0.001,swish,he,23.423586674134597,98.49667843733118,1664.8792828360758,98.4073729356679,99.60462625296992,23.403874058096342,45.2,27.54936456680298,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[128, 64, 32]",0.001,swish,xavier,23.503745568794272,98.77656409580463,1676.8266744668886,98.74848384394177,99.9885512994572,23.508519103533878,37.2,26.035380268096922,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[128, 64, 32]",0.01,relu,he,23.39603812816402,102.77432236391724,1662.6662045444577,102.41766759772868,99.28894944834386,23.36202855611494,35.8,16.962741756439208,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[128, 64, 32]",0.01,relu,xavier,23.28853718190988,99.24200202062244,1686.9496514094783,99.07610881366621,100.3322144453256,23.262949694518767,41.2,20.775035238265993,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[128, 64, 32]",0.01,tanh,he,23.308188550053153,104.04166086940108,1671.0431614404174,103.21609465262804,99.27400656073598,23.2251778330385,88.6,28.961943054199217,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[128, 64, 32]",0.01,tanh,xavier,23.438820965844975,104.27476649804187,1673.7216189381165,103.53053396096769,100.1795779274884,23.349354997601008,69.8,24.984127950668334,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[128, 64, 32]",0.01,swish,he,23.416263579791988,102.49636301087848,1664.603116911027,102.1212261995033,99.39857985527696,23.392407459418312,51.0,32.42686543464661,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
